#Curve name,a0,a1,a2,tau1,tau2
\force-save-2013.05.20-13.00.29.txt,0.000000e+00,1.785115e-05,1.175323e-09,3.688616e-01,8.031352e+00
\force-save-2013.05.20-13.00.42.txt,0.000000e+00,3.823713e-05,1.072771e-09,3.453993e-01,9.848302e+00
\force-save-2013.05.20-13.00.55.txt,0.000000e+00,4.121202e-03,1.434338e-09,2.441353e-01,6.638633e+00
\force-save-2013.05.20-13.01.08.txt,0.000000e+00,1.415088e-04,1.343931e-09,3.075461e-01,6.805221e+00
\force-save-2013.05.20-13.01.20.txt,0.000000e+00,1.297851e-06,9.628636e-10,4.920741e-01,1.077169e+01
\force-save-2013.05.20-13.01.33.txt,0.000000e+00,1.876828e-06,9.916707e-10,4.704036e-01,9.147786e+00
\force-save-2013.05.20-13.01.46.txt,0.000000e+00,1.292583e-05,1.055751e-09,3.806772e-01,9.696771e+00
